position,temperature
1524,59.699671
1525,59.674249
1526,59.648830
1527,59.623412
1528,59.597997
1529,59.572583
1530,59.547170
1531,59.521760
1532,59.496352
1533,59.470945
1534,59.445540
1535,59.420137
1536,59.394736
1537,59.369337
1538,59.343939
1539,59.318543
1540,59.293149
1541,59.267757
1542,59.242367
1543,59.216979
1544,59.191592
1545,59.166208
1546,59.140825
1547,59.115444
1548,59.090064
1549,59.064687
1550,59.039311
1551,59.013938
1552,58.988566
1553,58.963196
1554,58.937828
1555,58.912461
1556,58.887097
1557,58.861734
1558,58.836373
1559,58.811014
1560,58.785657
1561,58.760302
1562,58.734948
1563,58.709596
1564,58.684247
1565,58.658899
1566,58.633552
1567,58.608208
1568,58.582866
1569,58.557525
1570,58.532186
1571,58.506849
1572,58.481514
1573,58.456181
1574,58.430850
1575,58.405520
1576,58.380193
1577,58.354867
1578,58.329543
1579,58.304221
1580,58.278901
1581,58.253582
1582,58.228266
1583,58.202951
1584,58.177638
1585,58.152327
1586,58.127018
1587,58.101711
1588,58.076405
1589,58.051102
1590,58.025800
1591,58.000500
1592,57.975202
1593,57.949906
1594,57.924611
1595,57.899319
1596,57.874028
1597,57.848740
1598,57.823453
1599,57.798168
1600,57.772885
1601,57.747603
1602,57.722324
1603,57.697047
1604,57.671771
1605,57.646497
1606,57.621225
1607,57.595955
1608,57.570687
1609,57.545420
1610,57.520156
1611,57.494893
1612,57.469633
1613,57.444374
1614,57.419117
1615,57.393861
1616,57.368608
1617,57.343357
1618,57.318107
1619,57.292860
1620,57.267614
1621,57.242370
1622,57.217128
1623,57.191888
1624,57.166649
1625,57.141413
1626,57.116178
1627,57.090946
1628,57.065715
1629,57.040486
1630,57.015259
1631,56.990034
1632,56.964810
1633,56.939589
1634,56.914369
1635,56.889152
1636,56.863936
1637,56.838722
1638,56.813510
1639,56.788300
1640,56.763092
1641,56.737885
1642,56.712681
1643,56.687478
1644,56.662277
1645,56.637078
1646,56.611881
1647,56.586686
1648,56.561493
1649,56.536302
1650,56.511112
1651,56.485925
1652,56.460739
1653,56.435555
1654,56.410374
1655,56.385194
1656,56.360015
1657,56.334839
1658,56.309665
1659,56.284492
1660,56.259322
1661,56.234153
1662,56.208986
1663,56.183822
1664,56.158659
1665,56.133497
1666,56.108338
1667,56.083181
1668,56.058026
1669,56.032872
1670,56.007720
1671,55.982571
1672,55.957423
1673,55.932277
1674,55.907133
1675,55.881991
1676,55.856850
1677,55.831712
1678,55.806576
1679,55.781441
1680,55.756308
1681,55.731178
1682,55.706049
1683,55.680922
1684,55.655797
1685,55.630674
1686,55.605552
1687,55.580433
1688,55.555316
1689,55.530200
1690,55.505086
1691,55.479975
1692,55.454865
1693,55.429757
1694,55.404651
1695,55.379547
1696,55.354444
1697,55.329344
1698,55.304246
1699,55.279149
1700,55.254055
1701,55.228962
1702,55.203871
1703,55.178782
1704,55.153695
1705,55.128610
1706,55.103527
1707,55.078446
1708,55.053367
1709,55.028289
1710,55.003214
1711,54.978140
1712,54.953068
1713,54.927999
1714,54.902931
1715,54.877865
1716,54.852801
1717,54.827739
1718,54.802678
1719,54.777620
1720,54.752564
1721,54.727509
1722,54.702457
1723,54.677406
1724,54.652357
1725,54.627311
1726,54.602266
1727,54.577223
1728,54.552182
1729,54.527143
1730,54.502105
1731,54.477070
1732,54.452037
1733,54.427005
1734,54.401976
1735,54.376948
1736,54.351923
1737,54.326899
1738,54.301877
1739,54.276857
1740,54.251839
1741,54.226823
1742,54.201809
1743,54.176797
1744,54.151786
1745,54.126778
1746,54.101771
1747,54.076767
1748,54.051764
1749,54.026764
1750,54.001765
1751,53.976768
1752,53.951773
1753,53.926780
1754,53.901789
1755,53.876800
1756,53.851813
1757,53.826827
1758,53.801844
1759,53.776863
1760,53.751883
1761,53.726906
1762,53.701930
1763,53.676956
1764,53.651985
1765,53.627015
1766,53.602047
1767,53.577081
1768,53.552117
1769,53.527155
1770,53.502195
1771,53.477236
1772,53.452280
1773,53.427326
1774,53.402373
1775,53.377423
1776,53.352474
1777,53.327527
1778,53.302583
